city,ptime,time_stamp,o3,wd,pm25,weekday,ws,weather,temp,clock_num,pm10,sd,co,so2,month,no2
太原,2016050510.0,1462442400,0.22,3.0,0.14800000000000002,3,0.1,0,0.6833333333333333,36000,0.22875,0.41818181818181815,0.19078571455819265,0.08800000000000001,5,0.185
太原,2016050511.0,1462446000,0.2542857142857143,3.0,0.136,3,0.1,0,0.6833333333333333,39600,0.2175,0.41818181818181815,0.17385714394705634,0.086,5,0.165
太原,2016050512.0,1462449600,0.2342857142857143,7.0,0.11,3,0.1,0,0.7,43200,0.19375,0.4363636363636363,0.15498214108603345,0.07,5,0.16
太原,2016050513.0,1462453200,0.2285714285714285,13.0,0.055999999999999994,3,0.1,1,0.7166666666666667,46800,0.12,0.3909090909090909,0.10619642904826572,0.036000000000000004,5,0.09
太原,2016050514.0,1462456800,0.2257142857142857,13.0,0.032,3,0.3,1,0.7666666666666667,50400,0.08375,0.2272727272727273,0.0813928587096078,0.024,5,0.065
太原,2016050515.0,1462460400,0.18571428571428567,15.0,0.038,3,0.3,1,0.7666666666666667,54000,0.095,0.15454545454545454,0.08258928571428571,0.027999999999999997,5,0.12
太原,2016050516.0,1462464000,0.18857142857142856,13.0,0.05,3,0.2,1,0.75,57600,0.1375,0.15454545454545454,0.08339285850524902,0.024,5,0.13
太原,2016050517.0,1462467600,0.24285714285714285,11.0,0.066,3,0.2,1,0.7333333333333333,61200,0.145,0.2,0.07662499802453178,0.022000000000000002,5,0.065
太原,2016050518.0,1462471200,0.2485714285714285,11.0,0.062,3,0.2,1,0.7333333333333333,64800,0.15625,0.2,0.07550000292914254,0.02,5,0.065
太原,2016050519.0,1462474800,0.2371428571428572,13.0,0.057999999999999996,3,0.2,1,0.7666666666666667,68400,0.155,0.16363636363636366,0.07369642598288399,0.016,5,0.08
太原,2016050520.0,1462478400,0.21142857142857144,13.0,0.06,3,0.2,1,0.75,72000,0.15625,0.18181818181818185,0.07587500129427227,0.02,5,0.095
太原,2016050521.0,1462482000,0.19714285714285715,15.0,0.05,3,0.2,1,0.7166666666666667,75600,0.13875,0.2,0.07573214599064418,0.024,5,0.1
太原,2016050522.0,1462485600,0.19428571428571428,15.0,0.05,3,0.2,1,0.7,79200,0.145,0.18181818181818185,0.0723750080381121,0.022000000000000002,5,0.105
太原,2016050523.0,1462489200,0.2057142857142857,15.0,0.05,3,0.2,1,0.6833333333333333,82800,0.17125,0.2,0.0684821435383388,0.02,5,0.075
太原,2016050600.0,1462492800,0.22,13.0,0.046,4,0.1,1,0.6333333333333333,0,0.16625,0.2545454545454545,0.06630356822695052,0.02,5,0.05
太原,2016050601.0,1462496400,0.2257142857142857,15.0,0.055999999999999994,4,0.3,1,0.6166666666666667,3600,0.165,0.14545454545454545,0.06557142734527589,0.016,5,0.045
太原,2016050602.0,1462500000,0.21428571428571427,15.0,0.052000000000000005,4,0.3,1,0.6,7200,0.17125,0.13636363636363635,0.0680892893246242,0.016,5,0.045
太原,2016050603.0,1462503600,0.19428571428571428,15.0,0.046,4,0.3,1,0.6,10800,0.18125,0.13636363636363635,0.07053571939468385,0.016,5,0.055
太原,2016050604.0,1462507200,0.18285714285714288,1.0,0.046,4,0.3,1,0.5666666666666667,14400,0.17875,0.12727272727272726,0.07153571503502983,0.018000000000000002,5,0.065
太原,2016050605.0,1462510800,0.17714285714285713,1.0,0.05,4,0.3,1,0.55,18000,0.18875,0.14545454545454545,0.07791071278708321,0.024,5,0.065
太原,2016050606.0,1462514400,0.1742857142857143,1.0,0.057999999999999996,4,0.2,1,0.55,21600,0.20625,0.14545454545454545,0.0786607095173427,0.022000000000000002,5,0.06
太原,2016050607.0,1462518000,0.16285714285714287,3.0,0.07400000000000001,4,0.2,1,0.5333333333333333,25200,0.2375,0.17272727272727273,0.08057143007005964,0.026000000000000002,5,0.075
太原,2016050608.0,1462521600,0.14857142857142858,3.0,0.09,4,0.2,1,0.5166666666666667,28800,0.2675,0.18181818181818185,0.0880178553717477,0.03,5,0.09
太原,2016050609.0,1462525200,0.15142857142857144,3.0,0.094,4,0.2,1,0.5166666666666667,32400,0.27,0.2,0.0846428530556815,0.027999999999999997,5,0.08
太原,2016050610.0,1462528800,0.15428571428571428,3.0,0.096,4,0.3,2,0.55,36000,0.2675,0.17272727272727273,0.08694642782211304,0.026000000000000002,5,0.075
太原,2016050611.0,1462532400,0.16285714285714287,3.0,0.098,4,0.3,2,0.5666666666666667,39600,0.24625,0.17272727272727273,0.09394643136433192,0.027999999999999997,5,0.075
太原,2016050612.0,1462536000,0.1742857142857143,1.0,0.094,4,0.2,2,0.5666666666666667,43200,0.2325,0.16363636363636366,0.08808927876608713,0.026000000000000002,5,0.065
太原,2016050613.0,1462539600,0.16857142857142854,3.0,0.09,4,0.2,2,0.6,46800,0.215,0.16363636363636366,0.09982143129621232,0.03,5,0.08
太原,2016050614.0,1462543200,0.16857142857142854,3.0,0.084,4,0.2,2,0.6,50400,0.19625,0.14545454545454545,0.09653571673801968,0.032,5,0.085
太原,2016050615.0,1462546800,0.16,3.0,0.078,4,0.3,2,0.6166666666666667,54000,0.1825,0.15454545454545454,0.09771428789411273,0.032,5,0.1
太原,2016050616.0,1462550400,0.16,3.0,0.07400000000000001,4,0.2,2,0.6166666666666667,57600,0.175,0.15454545454545454,0.09453571694237846,0.032,5,0.1
太原,2016050617.0,1462554000,0.16285714285714287,5.0,0.07200000000000001,4,0.1,2,0.6166666666666667,61200,0.175,0.16363636363636366,0.09194643156869073,0.032,5,0.1
太原,2016050618.0,1462557600,0.14857142857142858,7.0,0.07200000000000001,4,0.2,2,0.6166666666666667,64800,0.17,0.17272727272727273,0.09483929191316877,0.048,5,0.125
太原,2016050619.0,1462561200,0.12571428571428572,5.0,0.07200000000000001,4,0.2,2,0.6333333333333333,68400,0.1725,0.16363636363636366,0.1002500057220459,0.046,5,0.155
太原,2016050620.0,1462564800,0.09428571428571428,7.0,0.07200000000000001,4,0.1,2,0.6166666666666667,72000,0.18375,0.17272727272727273,0.1002321413585118,0.048,5,0.19
太原,2016050621.0,1462568400,0.04857142857142857,3.0,0.086,4,0.1,2,0.6,75600,0.2125,0.20909090909090908,0.11025000470025201,0.055999999999999994,5,0.24
太原,2016050622.0,1462572000,0.03428571428571429,11.0,0.08800000000000001,4,0.1,0,0.6,79200,0.21625,0.20909090909090908,0.1105357153075082,0.07400000000000001,5,0.25
太原,2016050623.0,1462575600,0.028571428571428567,11.0,0.096,4,0.1,0,0.5666666666666667,82800,0.23125,0.2818181818181818,0.11244642734527588,0.08,5,0.23
太原,2016050700.0,1462579200,0.028571428571428567,11.0,0.096,5,0.2,0,0.55,0,0.22875,0.3,0.11374999795641218,0.086,5,0.215
太原,2016050701.0,1462582800,0.025714285714285717,11.0,0.1,5,0.1,2,0.55,3600,0.21125,0.3363636363636364,0.119232143674578,0.09,5,0.22
太原,2016050702.0,1462586400,0.025714285714285717,1.0,0.11199999999999999,5,0.0,2,0.5166666666666667,7200,0.2275,0.41818181818181815,0.12410713945116315,0.094,5,0.22
太原,2016050703.0,1462590000,0.02,1.0,0.11199999999999999,5,0.0,2,0.5166666666666667,10800,0.22875,0.41818181818181815,0.12166070938110353,0.126,5,0.215
太原,2016050704.0,1462593600,0.025714285714285717,3.0,0.086,5,0.1,2,0.5,14400,0.18875,0.4636363636363636,0.11123214449201313,0.11,5,0.2
太原,2016050705.0,1462597200,0.022857142857142857,7.0,0.086,5,0.1,2,0.5,18000,0.18625,0.4818181818181818,0.11460713829313005,0.098,5,0.195
太原,2016050706.0,1462600800,0.022857142857142857,3.0,0.07400000000000001,5,0.2,2,0.4833333333333333,21600,0.165,0.4545454545454545,0.12149999822889054,0.078,5,0.195
太原,2016050707.0,1462604400,0.03142857142857143,3.0,0.07,5,0.1,2,0.4666666666666667,25200,0.15625,0.4818181818181818,0.1339642916406904,0.07200000000000001,5,0.2
太原,2016050708.0,1462608000,0.054285714285714284,5.0,0.07,5,0.1,2,0.4666666666666667,28800,0.14625,0.4727272727272727,0.1393214293888637,0.07400000000000001,5,0.18
太原,2016050709.0,1462611600,0.08285714285714285,3.0,0.092,5,0.2,0,0.4833333333333333,32400,0.1325,0.4545454545454545,0.1348392793110439,0.07400000000000001,5,0.17
太原,2016050710.0,1462615200,0.11428571428571427,3.0,0.052000000000000005,5,0.2,2,0.5333333333333333,36000,0.1175,0.3545454545454545,0.12444643463407246,0.066,5,0.155
太原,2016050711.0,1462618800,0.15428571428571428,3.0,0.042,5,0.2,2,0.5833333333333334,39600,0.09875,0.2545454545454545,0.11082143442971366,0.055999999999999994,5,0.125
太原,2016050712.0,1462622400,0.19428571428571428,3.0,0.055999999999999994,5,0.2,2,0.6166666666666667,43200,0.08625,0.19090909090909086,0.09853571653366087,0.044000000000000004,5,0.085
太原,2016050713.0,1462626000,0.2057142857142857,7.0,0.07400000000000001,5,0.3,0,0.65,46800,0.105,0.17272727272727273,0.09642857313156128,0.05,5,0.08
太原,2016050714.0,1462629600,0.21714285714285714,11.0,0.052000000000000005,5,0.3,0,0.65,50400,0.12,0.2,0.10017857381275724,0.06,5,0.085
太原,2016050715.0,1462633200,0.23142857142857146,11.0,0.08,5,0.3,2,0.65,54000,0.1325,0.2181818181818181,0.10942856754575456,0.086,5,0.095
太原,2016050716.0,1462636800,0.2257142857142857,11.0,0.12,5,0.3,2,0.65,57600,0.1525,0.2727272727272727,0.12176786150251115,0.136,5,0.11
太原,2016050717.0,1462640400,0.20857142857142846,13.0,0.1,5,0.3,2,0.6333333333333333,61200,0.13875,0.3090909090909091,0.12455357824053084,0.14400000000000002,5,0.115
太原,2016050718.0,1462644000,0.19428571428571428,11.0,0.07400000000000001,5,0.3,2,0.6166666666666667,64800,0.12875,0.34545454545454546,0.1271071434020996,0.14800000000000002,5,0.12
太原,2016050719.0,1462647600,0.17142857142857146,11.0,0.08199999999999999,5,0.3,2,0.6,68400,0.13,0.4090909090909091,0.1315714291163853,0.132,5,0.135
太原,2016050720.0,1462651200,0.13714285714285715,11.0,0.08,5,0.2,2,0.5833333333333334,72000,0.13,0.5,0.14432144165039062,0.142,5,0.175
太原,2016050721.0,1462654800,0.12857142857142856,11.0,0.07,5,0.3,2,0.5666666666666667,75600,0.125,0.5454545454545454,0.14562499523162845,0.136,5,0.175
太原,2016050722.0,1462658400,0.10857142857142857,11.0,0.07400000000000001,5,0.2,2,0.55,79200,0.1175,0.5727272727272728,0.13758928435189385,0.126,5,0.175
太原,2016050723.0,1462662000,0.06571428571428571,9.0,0.086,5,0.2,1,0.5333333333333333,82800,0.125,0.6181818181818182,0.13525000640324186,0.14,5,0.215
太原,2016050800.0,1462665600,0.051428571428571435,11.0,0.092,6,0.2,1,0.5166666666666667,0,0.13375,0.6363636363636364,0.1396607160568237,0.174,5,0.22
太原,2016050801.0,1462669200,0.04,11.0,0.096,6,0.2,1,0.5166666666666667,3600,0.13875,0.6454545454545455,0.15310713223048614,0.214,5,0.225
太原,2016050802.0,1462672800,0.042857142857142864,11.0,0.096,6,0.2,1,0.5166666666666667,7200,0.13375,0.6363636363636364,0.15655355794089185,0.204,5,0.215
太原,2016050803.0,1462676400,0.045714285714285714,11.0,0.096,6,0.2,1,0.5166666666666667,10800,0.13,0.6363636363636364,0.15760712964194162,0.184,5,0.195
太原,2016050804.0,1462680000,0.03714285714285714,11.0,0.1,6,0.2,1,0.5166666666666667,14400,0.13375,0.6636363636363637,0.1606428623199463,0.172,5,0.205
太原,2016050805.0,1462683600,0.022857142857142857,11.0,0.106,6,0.3,1,0.5166666666666667,18000,0.1525,0.6636363636363637,0.15764285836900985,0.146,5,0.2
太原,2016050806.0,1462687200,0.017142857142857144,11.0,0.106,6,0.2,1,0.5166666666666667,21600,0.155,0.6818181818181818,0.16021427086421422,0.124,5,0.19
太原,2016050807.0,1462690800,0.02,11.0,0.106,6,0.1,1,0.5166666666666667,25200,0.1525,0.7,0.16578572137015207,0.11199999999999999,5,0.175
太原,2016050808.0,1462694400,0.03428571428571429,9.0,0.114,6,0.1,1,0.5166666666666667,28800,0.15125,0.7272727272727273,0.17664286068507604,0.14,5,0.175
